element,leftTime,rightTime,leftRefactory,leftLable,rightRefactory,rightLable
plugins/org.eclipse.reddeer.workbench/src/org/eclipse/reddeer/workbench/handler/EditorHandler.java\public getMarkers(editor IEditorPart) : List<Marker>,2018/1/8 20:06,2017/8/29 16:08,Extract Method,5561f9946cd31ecce1a1ed868fde0bc4da64d8980,Change Variable Type,78940b21a82bbc5db81bb2a96ccbbb4f87492bf10
plugins/org.eclipse.reddeer.workbench/src/org/eclipse/reddeer/workbench/impl/editor/AbstractEditor.java\null,2017/10/10 21:13,2017/6/12 22:06,Extract Variable,2f7cb12a22f0e028330fe51b01f48dd3a432e80b0,Inline Method,bfbff8d7c285791f21a745246141d6d92b0c55ef2
plugins/org.eclipse.reddeer.requirements/src/org/eclipse/reddeer/requirements/db/DatabaseRequirement.java\org.eclipse.reddeer.requirements.db.DatabaseRequirement,2017/9/18 15:47,2017/6/27 21:34,Extract Superclass,815f167d8579df3b34fe26b0c59f0bdd8f15f09d1,Extract Interface,e81f31b6990f258526535ee1e5b4f6eb6c1906d7219
plugins/org.eclipse.reddeer.requirements/src/org/eclipse/reddeer/requirements/db/DatabaseRequirement.java\org.eclipse.reddeer.requirements.db.DatabaseRequirement,2017/9/18 15:47,2017/4/25 14:44,Extract Superclass,815f167d8579df3b34fe26b0c59f0bdd8f15f09d1,Rename Package,02584bf1d10c8922bf616e670a8aeeca8a7b4f230
plugins/org.eclipse.reddeer.requirements/src/org/eclipse/reddeer/requirements/db/DatabaseRequirement.java\org.eclipse.reddeer.requirements.db.DatabaseRequirement,2017/9/18 15:47,2017/4/25 14:44,Extract Superclass,815f167d8579df3b34fe26b0c59f0bdd8f15f09d1,Move Class,02584bf1d10c8922bf616e670a8aeeca8a7b4f23532
plugins/org.eclipse.reddeer.requirements/src/org/eclipse/reddeer/requirements/jre/JRERequirement.java\org.eclipse.reddeer.requirements.jre.JRERequirement,2017/9/18 15:47,2017/6/27 21:34,Extract Superclass,815f167d8579df3b34fe26b0c59f0bdd8f15f09d1,Extract Interface,e81f31b6990f258526535ee1e5b4f6eb6c1906d7219
plugins/org.eclipse.reddeer.requirements/src/org/eclipse/reddeer/requirements/jre/JRERequirement.java\org.eclipse.reddeer.requirements.jre.JRERequirement,2017/9/18 15:47,2017/4/25 14:44,Extract Superclass,815f167d8579df3b34fe26b0c59f0bdd8f15f09d1,Rename Package,02584bf1d10c8922bf616e670a8aeeca8a7b4f230
plugins/org.eclipse.reddeer.requirements/src/org/eclipse/reddeer/requirements/jre/JRERequirement.java\org.eclipse.reddeer.requirements.jre.JRERequirement,2017/9/18 15:47,2017/4/25 14:44,Extract Superclass,815f167d8579df3b34fe26b0c59f0bdd8f15f09d1,Move Class,02584bf1d10c8922bf616e670a8aeeca8a7b4f23535
plugins/org.eclipse.reddeer.requirements/src/org/eclipse/reddeer/requirements/property/PropertyRequirement.java\org.eclipse.reddeer.requirements.property.PropertyRequirement,2017/9/18 15:47,2017/6/27 21:34,Extract Superclass,815f167d8579df3b34fe26b0c59f0bdd8f15f09d1,Move And Rename Class,e81f31b6990f258526535ee1e5b4f6eb6c1906d721
plugins/org.eclipse.reddeer.requirements/src/org/eclipse/reddeer/requirements/property/PropertyRequirement.java\org.eclipse.reddeer.requirements.property.PropertyRequirement,2017/9/18 15:47,2017/6/27 21:34,Extract Superclass,815f167d8579df3b34fe26b0c59f0bdd8f15f09d1,Extract Interface,e81f31b6990f258526535ee1e5b4f6eb6c1906d7219
plugins/org.eclipse.reddeer.requirements/src/org/eclipse/reddeer/requirements/autobuilding/AutoBuildingRequirement.java\org.eclipse.reddeer.requirements.autobuilding.AutoBuildingRequirement,2017/9/18 15:47,2017/4/25 14:44,Extract Superclass,815f167d8579df3b34fe26b0c59f0bdd8f15f09d2,Rename Package,02584bf1d10c8922bf616e670a8aeeca8a7b4f230
plugins/org.eclipse.reddeer.requirements/src/org/eclipse/reddeer/requirements/autobuilding/AutoBuildingRequirement.java\org.eclipse.reddeer.requirements.autobuilding.AutoBuildingRequirement,2017/9/18 15:47,2017/4/25 14:44,Extract Superclass,815f167d8579df3b34fe26b0c59f0bdd8f15f09d2,Move Class,02584bf1d10c8922bf616e670a8aeeca8a7b4f23528
plugins/org.eclipse.reddeer.requirements/src/org/eclipse/reddeer/requirements/cleanworkspace/CleanWorkspaceRequirement.java\org.eclipse.reddeer.requirements.cleanworkspace.CleanWorkspaceRequirement,2017/9/18 15:47,2017/4/25 14:44,Extract Superclass,815f167d8579df3b34fe26b0c59f0bdd8f15f09d2,Rename Package,02584bf1d10c8922bf616e670a8aeeca8a7b4f230
plugins/org.eclipse.reddeer.requirements/src/org/eclipse/reddeer/requirements/cleanworkspace/CleanWorkspaceRequirement.java\org.eclipse.reddeer.requirements.cleanworkspace.CleanWorkspaceRequirement,2017/9/18 15:47,2017/4/25 14:44,Extract Superclass,815f167d8579df3b34fe26b0c59f0bdd8f15f09d2,Move Class,02584bf1d10c8922bf616e670a8aeeca8a7b4f23529
plugins/org.eclipse.reddeer.requirements/src/org/eclipse/reddeer/requirements/closeeditors/CloseAllEditorsRequirement.java\org.eclipse.reddeer.requirements.closeeditors.CloseAllEditorsRequirement,2017/9/18 15:47,2017/4/25 14:44,Extract Superclass,815f167d8579df3b34fe26b0c59f0bdd8f15f09d2,Rename Package,02584bf1d10c8922bf616e670a8aeeca8a7b4f230
plugins/org.eclipse.reddeer.requirements/src/org/eclipse/reddeer/requirements/closeeditors/CloseAllEditorsRequirement.java\org.eclipse.reddeer.requirements.closeeditors.CloseAllEditorsRequirement,2017/9/18 15:47,2017/4/25 14:44,Extract Superclass,815f167d8579df3b34fe26b0c59f0bdd8f15f09d2,Move Class,02584bf1d10c8922bf616e670a8aeeca8a7b4f23530
plugins/org.eclipse.reddeer.requirements/src/org/eclipse/reddeer/requirements/closeeditors/CloseAllEditorsRequirement.java\org.eclipse.reddeer.requirements.closeeditors.CloseAllEditorsRequirement,2017/9/18 15:47,2017/4/25 14:44,Extract Class,815f167d8579df3b34fe26b0c59f0bdd8f15f09d3,Rename Package,02584bf1d10c8922bf616e670a8aeeca8a7b4f230
plugins/org.eclipse.reddeer.requirements/src/org/eclipse/reddeer/requirements/closeeditors/CloseAllEditorsRequirement.java\org.eclipse.reddeer.requirements.closeeditors.CloseAllEditorsRequirement,2017/9/18 15:47,2017/4/25 14:44,Extract Class,815f167d8579df3b34fe26b0c59f0bdd8f15f09d3,Move Class,02584bf1d10c8922bf616e670a8aeeca8a7b4f23530
plugins/org.eclipse.reddeer.requirements/src/org/eclipse/reddeer/requirements/db/DatabaseRequirement.java\org.eclipse.reddeer.requirements.db.DatabaseRequirement,2017/9/18 15:47,2017/6/27 21:34,Extract Class,815f167d8579df3b34fe26b0c59f0bdd8f15f09d5,Extract Interface,e81f31b6990f258526535ee1e5b4f6eb6c1906d7219
plugins/org.eclipse.reddeer.requirements/src/org/eclipse/reddeer/requirements/db/DatabaseRequirement.java\org.eclipse.reddeer.requirements.db.DatabaseRequirement,2017/9/18 15:47,2017/4/25 14:44,Extract Class,815f167d8579df3b34fe26b0c59f0bdd8f15f09d5,Rename Package,02584bf1d10c8922bf616e670a8aeeca8a7b4f230
plugins/org.eclipse.reddeer.requirements/src/org/eclipse/reddeer/requirements/db/DatabaseRequirement.java\org.eclipse.reddeer.requirements.db.DatabaseRequirement,2017/9/18 15:47,2017/4/25 14:44,Extract Class,815f167d8579df3b34fe26b0c59f0bdd8f15f09d5,Move Class,02584bf1d10c8922bf616e670a8aeeca8a7b4f23532
plugins/org.eclipse.reddeer.requirements/src/org/eclipse/reddeer/requirements/jre/JRERequirement.java\org.eclipse.reddeer.requirements.jre.JRERequirement,2017/9/18 15:47,2017/6/27 21:34,Extract Class,815f167d8579df3b34fe26b0c59f0bdd8f15f09d6,Extract Interface,e81f31b6990f258526535ee1e5b4f6eb6c1906d7219
plugins/org.eclipse.reddeer.requirements/src/org/eclipse/reddeer/requirements/jre/JRERequirement.java\org.eclipse.reddeer.requirements.jre.JRERequirement,2017/9/18 15:47,2017/4/25 14:44,Extract Class,815f167d8579df3b34fe26b0c59f0bdd8f15f09d6,Rename Package,02584bf1d10c8922bf616e670a8aeeca8a7b4f230
plugins/org.eclipse.reddeer.requirements/src/org/eclipse/reddeer/requirements/jre/JRERequirement.java\org.eclipse.reddeer.requirements.jre.JRERequirement,2017/9/18 15:47,2017/4/25 14:44,Extract Class,815f167d8579df3b34fe26b0c59f0bdd8f15f09d6,Move Class,02584bf1d10c8922bf616e670a8aeeca8a7b4f23535
plugins/org.eclipse.reddeer.requirements/src/org/eclipse/reddeer/requirements/property/PropertyRequirement.java\org.eclipse.reddeer.requirements.property.PropertyRequirement,2017/9/18 15:47,2017/6/27 21:34,Extract Class,815f167d8579df3b34fe26b0c59f0bdd8f15f09d7,Move And Rename Class,e81f31b6990f258526535ee1e5b4f6eb6c1906d721
